City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,kavieng,-2.57,150.8,82.99,75,11,5.48,PG,1586378456
254,bikaner,28.02,73.3,77.92,23,0,6.8,IN,1586378710
255,anchorage,61.22,-149.9,30.99,38,1,3.36,US,1586378654
256,vila franca do campo,37.72,-25.43,62.6,88,20,12.75,PT,1586378638
257,viedma,-40.81,-63.0,69.24,23,0,11.3,AR,1586378710
258,tiznit,29.58,-9.5,71.47,40,72,2.26,MA,1586378426
259,sinegorskiy,48.01,40.84,43.11,56,1,10.49,RU,1586378711
260,turukhansk,65.82,87.98,29.17,94,100,16.2,RU,1586378711
261,port moresby,-9.44,147.18,75.2,100,5,6.29,PG,1586378711
262,berlevag,70.86,29.09,33.8,80,75,19.46,NO,1586378536
263,russell,32.35,-85.2,84.2,66,40,6.93,US,1586378417
264,petropavlovka,50.61,105.32,37.02,55,0,2.66,RU,1586378711
265,panaba,21.28,-88.27,96.85,31,42,8.7,MX,1586378712
266,guapiacu,-20.8,-49.22,82.4,51,20,11.41,BR,1586378712
267,yuxia,34.06,108.63,62.01,62,63,4.47,CN,1586378712
268,bulungu,-4.55,18.6,71.74,86,99,1.21,CD,1586378712
269,krasnyy chikoy,50.36,108.75,31.55,65,0,2.68,RU,1586378712
270,doha,25.29,51.53,84.99,45,0,12.75,QA,1586378524
271,filadelfia,39.95,-75.16,75.99,40,40,11.41,US,1586378463
272,makakilo city,21.35,-158.09,79.0,69,40,8.05,US,1586378669
273,gainesville,29.65,-82.32,88.0,62,75,11.41,US,1586378565
274,barentu,15.11,37.59,79.97,30,8,3.69,ER,1586378713
275,qui nhon,13.77,109.23,74.97,89,89,9.28,VN,1586378713
276,grand gaube,-20.01,57.66,80.6,78,75,8.05,MU,1586378713
277,havre-saint-pierre,50.23,-63.6,32.0,92,75,16.11,CA,1586378527
278,bull savanna,17.89,-77.59,82.24,58,100,3.78,JM,1586378713
279,baculin,7.45,126.58,77.16,78,5,4.61,PH,1586378714
280,mahibadhoo,3.78,72.97,84.36,69,85,6.53,MV,1586378714
281,marzuq,14.4,46.47,73.58,25,0,4.27,YE,1586378714
282,jalu,29.03,21.55,67.95,32,100,7.83,LY,1586378714
283,shakawe,-18.37,21.85,74.53,32,82,3.8,BW,1586378714
284,upernavik,72.79,-56.15,15.13,86,7,2.95,GL,1586378715
285,nioro,13.35,-15.75,81.75,35,0,13.58,GM,1586378715
286,codrington,-38.27,141.97,54.99,86,3,10.54,AU,1586378507
287,tasiilaq,65.61,-37.64,28.4,74,2,16.11,GL,1586378455
288,broome,42.25,-75.83,57.99,54,40,13.87,US,1586378715
289,marystown,47.17,-55.15,30.69,93,100,13.8,CA,1586378535
290,socorro,31.65,-106.3,79.0,17,75,13.87,US,1586378715
291,beringovskiy,63.05,179.32,12.92,88,0,1.9,RU,1586378492
292,tual,-5.67,132.75,82.92,72,99,6.17,ID,1586378716
293,sorong,-0.88,131.25,77.52,85,16,4.25,ID,1586378716
294,batemans bay,-35.72,150.18,57.0,100,53,5.95,AU,1586378716
295,kupang,-10.17,123.58,80.67,75,100,7.9,ID,1586378716
296,brae,60.4,-1.35,41.0,86,9,8.05,GB,1586378716
297,zyryanovsk,49.74,84.27,40.8,74,100,2.17,KZ,1586378716
298,san cristobal,7.77,-72.22,91.4,55,40,12.75,VE,1586378717
299,lorengau,-2.02,147.27,81.21,79,63,4.0,PG,1586378447
300,cacule,-14.5,-42.22,75.99,70,100,2.33,BR,1586378717
301,luderitz,-26.65,15.16,59.0,87,34,6.93,NA,1586378717
302,gusinoye ozero,51.11,106.26,35.91,62,0,2.93,RU,1586378717
303,hamilton,39.18,-84.53,81.0,32,40,9.17,US,1586378717
304,saldanha,-33.01,17.94,59.0,38,0,5.82,ZA,1586378717
305,sinfra,6.62,-5.92,78.8,83,75,6.93,CI,1586378718
306,nara,34.69,135.8,48.2,70,0,4.7,JP,1586378528
307,bontang,0.13,117.5,76.46,90,67,5.39,ID,1586378501
308,vila do maio,15.13,-23.22,77.0,61,0,19.46,CV,1586378718
309,adrar,20.5,-10.07,83.19,12,0,9.31,MR,1586378425
310,clarence town,-32.58,151.78,63.0,100,90,4.7,AU,1586378718
311,krasnyy yar,46.53,48.35,35.6,59,0,4.47,RU,1586378719
312,sambava,-14.27,50.17,75.2,84,3,9.19,MG,1586378565
313,usinsk,65.99,57.53,16.59,97,93,10.36,RU,1586378719
314,baruun-urt,46.68,113.28,24.46,65,0,4.41,MN,1586378719
315,batesville,35.77,-91.64,90.0,48,1,6.93,US,1586378719
316,cintalapa,16.7,-93.73,98.6,25,6,2.21,MX,1586378719
317,souillac,-20.52,57.52,80.6,78,75,8.05,MU,1586378719
318,bubaque,11.28,-15.83,79.57,74,0,17.65,GW,1586378720
319,verkhnetulomskiy,68.61,31.8,41.0,56,99,8.95,RU,1586378720
320,ilulissat,69.22,-51.1,19.4,62,0,2.24,GL,1586378489
321,karratha,-20.74,116.85,79.92,65,49,4.32,AU,1586378607
322,ucluelet,48.93,-125.55,61.0,58,40,9.17,CA,1586378500
323,tevaitoa,-16.78,-151.5,84.09,74,74,13.71,PF,1586378720
324,kapoeta,4.77,33.59,86.76,33,4,13.94,SS,1586378720
325,poya,-21.35,165.15,75.83,79,31,10.94,NC,1586378721
326,gunjur,13.2,-16.73,78.8,57,0,10.29,GM,1586378721
327,tairua,-37.02,175.85,62.01,69,54,15.99,NZ,1586378721
328,vestmanna,62.16,-7.17,37.4,74,32,11.41,FO,1586378721
329,honningsvag,70.98,25.97,35.6,96,75,18.34,NO,1586378721
330,general artigas,-26.93,-56.22,73.4,38,84,9.17,PY,1586378721
331,santa cruz de tenerife,28.47,-16.25,71.01,45,14,13.87,ES,1586378484
332,yining,29.04,114.56,55.85,76,4,1.86,CN,1586378722
333,bemidji,47.47,-94.88,46.4,48,75,14.99,US,1586378682
334,bumbuna,9.05,-11.73,82.51,61,11,5.48,SL,1586378722
335,krasnoselkup,65.7,82.47,25.23,96,98,18.66,RU,1586378723
336,colares,38.8,-9.45,63.0,82,40,4.7,PT,1586378723
337,charters towers,-20.1,146.27,67.06,81,1,5.28,AU,1586378723
338,sidrolandia,-20.93,-54.96,80.6,54,40,8.05,BR,1586378543
339,barcelona,41.39,2.16,61.0,72,20,2.24,ES,1586378624
340,carauari,-4.88,-66.9,83.37,73,96,3.24,BR,1586378723
341,manavgat,36.79,31.44,59.0,87,75,4.7,TR,1586378723
342,lazaro cardenas,17.96,-102.2,89.2,39,62,8.72,MX,1586378724
343,zlitan,32.47,14.57,59.05,61,0,8.86,LY,1586378724
344,roma,43.21,-75.46,53.01,66,90,9.17,US,1586378698
345,shingu,33.73,135.98,47.89,63,0,4.76,JP,1586378724
346,general pico,-35.66,-63.76,65.57,38,26,10.65,AR,1586378724
347,majene,-3.54,118.97,76.23,86,69,3.69,ID,1586378724
348,nouakchott,18.09,-15.98,78.8,54,0,14.99,MR,1586378725
349,butterworth,5.4,100.36,80.6,88,40,3.94,MY,1586378725
350,touros,-5.2,-35.46,84.2,74,20,8.05,BR,1586378511
351,mayumba,-3.43,10.66,80.4,86,80,4.7,GA,1586378725
352,ondangwa,-17.92,15.95,77.0,61,73,4.7,NA,1586378725
353,hirara,24.8,125.28,69.78,79,94,18.05,JP,1586378637
354,sorbhog,26.5,90.87,71.38,26,0,6.02,IN,1586378725
355,cabo san lucas,22.89,-109.91,87.01,50,90,11.41,MX,1586378526
356,seoul,37.57,126.98,42.8,48,20,3.36,KR,1586378715
357,cidreira,-30.18,-50.21,65.1,71,37,15.86,BR,1586378726
358,bereslavka,48.63,44.04,39.2,29,0,11.18,RU,1586378726
359,tver,56.86,35.89,36.82,86,0,3.85,RU,1586378726
360,guymon,36.68,-101.48,82.4,14,1,13.87,US,1586378726
361,inongo,-1.95,18.27,72.32,88,100,2.04,CD,1586378726
362,natal,-5.79,-35.21,86.0,70,20,12.75,BR,1586378727
363,nyurba,63.28,118.33,30.67,97,91,3.6,RU,1586378519
364,kerman,30.28,57.08,57.2,67,75,19.46,IR,1586378727
365,bacolod,10.67,122.95,77.02,74,54,5.84,PH,1586378727
366,kibala,9.11,18.35,85.19,42,63,0.94,TD,1586378727
367,lata,40.16,-8.33,62.01,90,100,1.66,PT,1586378546
368,fairbanks,64.84,-147.72,28.0,52,1,4.7,US,1586378727
369,dunedin,-45.87,170.5,52.0,70,100,1.01,NZ,1586378727
370,eureka,40.8,-124.16,72.0,77,1,13.87,US,1586378728
371,gladstone,-23.85,151.25,71.6,73,90,8.05,AU,1586378728
372,port lincoln,-34.73,135.87,60.03,76,85,8.03,AU,1586378728
373,xining,36.62,101.77,38.3,24,18,2.06,CN,1586378541
374,guatire,10.48,-66.54,84.0,59,100,4.0,VE,1586378728
375,gbarnga,7.0,-9.47,75.65,87,73,2.8,LR,1586378728
376,ziro,27.63,93.83,50.67,41,70,2.44,IN,1586378729
377,tessalit,20.2,1.01,81.05,11,0,6.02,ML,1586378729
378,irig,45.1,19.86,53.6,45,0,4.7,RS,1586378729
379,yumen,40.28,97.2,46.44,26,0,3.58,CN,1586378729
380,sitka,57.05,-135.33,44.6,87,90,20.8,US,1586378502
381,beni suef,29.07,31.1,65.05,43,29,7.99,EG,1586378729
382,newport,51.59,-3.0,61.0,59,0,5.82,GB,1586378729
